variant,regime,cn,n_cycles,bit_exact,div_cols,worst_col,worst_cycle,max_rel_pct,max_abs_diff,struct_max_rel_pct,vol_max_rel_pct,density_bitexact,converges,signature,struct_max_abs,vol_max_abs
SN,salvage,157872834010854,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2015,7.536,357.0,6.944,7.536,false,false,structure_densephase,5.0,17.0
SN,salvage,204664555010854,6,false,TPA|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2021,1.639,7.0,1.639,0.094,true,true,print_boundary,2.0,3.0
SN,salvage,205286903010854,6,false,TPA|BA|TCuFt|MCuFt|BdFt,BA,2013,0.763,6.0,0.763,0.214,true,false,print_boundary,4.0,6.0
SN,salvage,205295089010854,6,false,TPA|BdFt,BdFt,2004,0.765,11.0,0.105,0.765,true,true,print_boundary,1.0,0.0
SN,salvage,238012051020004,6,false,MCuFt,MCuFt,2038,0.02,1.0,0.0,0.02,true,false,print_boundary,0.0,0.0
SN,salvage,238930920010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,156210091010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,156505251010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,538522888126144,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2042,4.865,117.0,1.961,4.865,true,false,count_straddle,15.0,21.0
SN,salvage,156497975010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,258597347489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,219614526020004,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,218436473010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,481046193489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,733728926290487,6,false,TCuFt|BdFt,TCuFt,2034,0.018,1.0,0.0,0.018,true,true,print_boundary,0.0,1.0
SN,salvage,204712574010854,6,false,TPA|SDI|TCuFt|MCuFt|BdFt,SDI,2022,0.27,3.0,0.27,0.071,true,true,print_boundary,1.0,3.0
SN,salvage,481051187489998,6,false,BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2041,1.904,198.0,1.176,1.904,true,false,volume_persistent,1.0,18.0
SN,salvage,657529287126144,6,false,TCuFt|MCuFt|SCuFt|BdFt,BdFt,2019,0.8,235.0,0.0,0.8,true,false,print_boundary,0.0,18.0
SN,salvage,209269607010854,6,false,TPA|BA|TCuFt,BA,2022,1.408,3.0,1.408,0.168,true,true,print_boundary,1.0,3.0
SN,salvage,157578309010854,6,false,TCuFt|MCuFt|SCuFt|BdFt,BdFt,1981,0.432,26.0,0.0,0.432,true,false,print_boundary,0.0,5.0
SN,salvage,157578398010854,6,false,TCuFt|MCuFt|SCuFt|BdFt,SCuFt,1987,0.435,68.0,0.0,0.435,true,false,print_boundary,0.0,4.0
SN,salvage,157871990010854,6,false,TPA|BA|SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2010,9.681,339.0,1.333,9.681,true,true,threshold_crossing,2.0,35.0
SN,salvage,205287748010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,357499541489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,1276009901290487,6,false,TPA|BA|SDI|CCF|TopHt|TCuFt|MCuFt,MCuFt,2042,2.422,24.0,1.923,2.422,true,false,volume_persistent,1.0,23.0
SN,salvage,992714868290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,259566198010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,259566974010854,6,false,TPA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2021,2.381,30.0,2.381,0.156,true,true,print_boundary,5.0,3.0
SN,salvage,204758115010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,438919423489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,159202163010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,1898120202290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,238923472010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,257114088010854,6,false,TPA|BA|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2021,3.057,111.0,1.852,3.057,true,true,threshold_crossing,1.0,9.0
SN,salvage,1276056569290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,159196444010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,159734287010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,1738033968290487,6,false,CCF|TCuFt|MCuFt,CCF,2043,0.264,3.0,0.264,0.119,true,true,print_boundary,1.0,3.0
SN,salvage,238586215010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,238920811010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,238932211010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,603818784126144,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,TPA,2022,1.206,136.0,1.206,0.78,true,false,count_straddle,9.0,13.0
SN,salvage,155774884010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,salvage,156326539010854,6,false,QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,1997,1.124,37.0,1.124,0.388,true,true,print_boundary,0.1,3.0
SN,salvage,1683707296290487,6,false,TPA|BA|SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2049,51.934,358.0,3.571,51.934,false,false,structure_densephase,12.0,101.0
SN,salvage,259570091010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
