PDMHDR      1     10      0     11     81 00000000 42580000
PDMPE  1  1 00000000 00000000 00000000
PDMPE  1  2 00000000 00000000 00000000
PDMPE  1  3 00000000 00000000 00000000
PDMPE  2  1 3E52226E 3DF9B413 3F59999A
PDMPE  2  2 3E52226E 3E985A8B 3F59999A
PDMPE  2  3 3E52226D 3E985A8B 3F59999A
PDMPE  3  1 00000000 00000000 00000000
PDMPE  3  2 00000000 00000000 00000000
PDMPE  3  3 00000000 00000000 00000000
PDMPE  4  1 3E52226E 3E090AB9 3F59999A
PDMPE  4  2 3E52226E 3E985A8B 3F59999A
PDMPE  4  3 3E52226E 3E985A8B 3F59999A
PDMPE  5  1 3E52226E 3DAB95FC 3F59999A
PDMPE  5  2 3E52226E 3E985A8B 3F59999A
PDMPE  5  3 3E52226E 3E985A8B 3F59999A
PDMPE  6  1 00000000 00000000 00000000
PDMPE  6  2 00000000 00000000 00000000
PDMPE  6  3 00000000 00000000 00000000
PDMPRB  2  1  1 3E199998
PDMPRB  2  1  2 3CF5C28C
PDMPRB  2  1  3 3C1374BB
PDMPRB  2  1  4 39480F00
PDMPRB  2  2  1 3E199998
PDMPRB  2  2  2 3CF5C28B
PDMPRB  2  2  3 3C1374BA
PDMPRB  2  2  4 39480F01
PDMPRB  2  3  1 3E199998
PDMPRB  2  3  2 3CF5C28B
PDMPRB  2  3  3 3C1374BA
PDMPRB  2  3  4 39480EFE
PDMPRB  2  4  1 3E199998
PDMPRB  2  4  2 3CF5C28D
PDMPRB  2  4  3 3C1374BB
PDMPRB  2  4  4 39488AF9
PDMPRB  2  5  1 3E199999
PDMPRB  2  5  2 3CF5C28D
PDMPRB  2  5  3 3C1374BC
PDMPRB  2  5  4 39F55716
PDMPRB  2  6  1 3E199998
PDMPRB  2  6  2 3CF5C28B
PDMPRB  2  6  3 3C1374BA
PDMPRB  2  6  4 3A1EFB48
PDMPRB  2  7  1 3E199998
PDMPRB  2  7  2 3CF5C28C
PDMPRB  2  7  3 3C1374BB
PDMPRB  2  7  4 39488AF8
PDMPRB  2  8  1 3E199998
PDMPRB  2  8  2 3CF5C28C
PDMPRB  2  8  3 3C1374BB
PDMPRB  2  8  4 39F55715
PDMPRB  2  9  1 3E199998
PDMPRB  2  9  2 3CF5C28B
PDMPRB  2  9  3 3C1374BA
PDMPRB  2  9  4 3A1EFB48
PDMPRB  3  1  1 3F800000
PDMPRB  3  1  2 3F800000
PDMPRB  3  1  3 3F800000
PDMPRB  3  1  4 3F800000
PDMPRB  3  2  1 3F800000
PDMPRB  3  2  2 3F800000
PDMPRB  3  2  3 3F800000
PDMPRB  3  2  4 3F800000
PDMPRB  3  3  1 3F800000
PDMPRB  3  3  2 3F800000
PDMPRB  3  3  3 3F800000
PDMPRB  3  3  4 3F800000
PDMPRB  3  4  1 3F800000
PDMPRB  3  4  2 3F800000
PDMPRB  3  4  3 3F800000
PDMPRB  3  4  4 3F800000
PDMPRB  3  5  1 3F800000
PDMPRB  3  5  2 3F800000
PDMPRB  3  5  3 3F800000
PDMPRB  3  5  4 3F800000
PDMPRB  3  6  1 3F800000
PDMPRB  3  6  2 3F800000
PDMPRB  3  6  3 3F800000
PDMPRB  3  6  4 3F800000
PDMPRB  3  7  1 3F800000
PDMPRB  3  7  2 3F800000
PDMPRB  3  7  3 3F800000
PDMPRB  3  7  4 3F800000
PDMPRB  3  8  1 3F800000
PDMPRB  3  8  2 3F800000
PDMPRB  3  8  3 3F800000
PDMPRB  3  8  4 3F800000
PDMPRB  3  9  1 3F800000
PDMPRB  3  9  2 3F800000
PDMPRB  3  9  3 3F800000
PDMPRB  3  9  4 3F800000
PDMPRB  4  1  1 3E199998
PDMPRB  4  1  2 3CF5C28D
PDMPRB  4  1  3 3C1374BB
PDMPRB  4  1  4 39415145
PDMPRB  4  2  1 3E199998
PDMPRB  4  2  2 3CF5C28B
PDMPRB  4  2  3 3C1374BA
PDMPRB  4  2  4 39415143
PDMPRB  4  3  1 3E199998
PDMPRB  4  3  2 3CF5C28C
PDMPRB  4  3  3 3C1374BB
PDMPRB  4  3  4 39415145
PDMPRB  4  4  1 3E199998
PDMPRB  4  4  2 3CF5C28D
PDMPRB  4  4  3 3C1374BB
PDMPRB  4  4  4 3941CD3D
PDMPRB  4  5  1 3E199998
PDMPRB  4  5  2 3CF5C28D
PDMPRB  4  5  3 3C1374BC
PDMPRB  4  5  4 39F1F838
PDMPRB  4  6  1 3E199998
PDMPRB  4  6  2 3CF5C28C
PDMPRB  4  6  3 3C1374BB
PDMPRB  4  6  4 3A1D4BD8
PDMPRB  4  7  1 3E199998
PDMPRB  4  7  2 3CF5C28D
PDMPRB  4  7  3 3C1374BC
PDMPRB  4  7  4 3941CD3B
PDMPRB  4  8  1 3E199998
PDMPRB  4  8  2 3CF5C28C
PDMPRB  4  8  3 3C1374BB
PDMPRB  4  8  4 39F1F836
PDMPRB  4  9  1 3E199998
PDMPRB  4  9  2 3CF5C28C
PDMPRB  4  9  3 3C1374BB
PDMPRB  4  9  4 3A1D4BD8
PDMPRB  5  1  1 3E199998
PDMPRB  5  1  2 3CF5C28C
PDMPRB  5  1  3 3C1374BB
PDMPRB  5  1  4 39480F00
PDMPRB  5  2  1 3E199998
PDMPRB  5  2  2 3CF5C28C
PDMPRB  5  2  3 3C1374BB
PDMPRB  5  2  4 39480F01
PDMPRB  5  3  1 3E199998
PDMPRB  5  3  2 3CF5C28B
PDMPRB  5  3  3 3C1374BB
PDMPRB  5  3  4 39480F00
PDMPRB  5  4  1 3E199998
PDMPRB  5  4  2 3CF5C28B
PDMPRB  5  4  3 3C1374BB
PDMPRB  5  4  4 39488AF9
PDMPRB  5  5  1 3E199997
PDMPRB  5  5  2 3CF5C28A
PDMPRB  5  5  3 3C1374BA
PDMPRB  5  5  4 39F55715
PDMPRB  5  6  1 3E199998
PDMPRB  5  6  2 3CF5C28C
PDMPRB  5  6  3 3C1374BB
PDMPRB  5  6  4 3A1EFB48
PDMPRB  5  7  1 3E199998
PDMPRB  5  7  2 3CF5C28D
PDMPRB  5  7  3 3C1374BB
PDMPRB  5  7  4 39488AF7
PDMPRB  5  8  1 3E199998
PDMPRB  5  8  2 3CF5C28C
PDMPRB  5  8  3 3C1374BB
PDMPRB  5  8  4 39F55716
PDMPRB  5  9  1 3E199998
PDMPRB  5  9  2 3CF5C28B
PDMPRB  5  9  3 3C1374BA
PDMPRB  5  9  4 3A1EFB48
PDMPRB  6  1  1 3F800000
PDMPRB  6  1  2 3F800000
PDMPRB  6  1  3 3F800000
PDMPRB  6  1  4 3F800000
PDMPRB  6  2  1 3F800000
PDMPRB  6  2  2 3F800000
PDMPRB  6  2  3 3F800000
PDMPRB  6  2  4 3F800000
PDMPRB  6  3  1 3F800000
PDMPRB  6  3  2 3F800000
PDMPRB  6  3  3 3F800000
PDMPRB  6  3  4 3F800000
PDMPRB  6  4  1 3F800000
PDMPRB  6  4  2 3F800000
PDMPRB  6  4  3 3F800000
PDMPRB  6  4  4 3F800000
PDMPRB  6  5  1 3F800000
PDMPRB  6  5  2 3F800000
PDMPRB  6  5  3 3F800000
PDMPRB  6  5  4 3F800000
PDMPRB  6  6  1 3F800000
PDMPRB  6  6  2 3F800000
PDMPRB  6  6  3 3F800000
PDMPRB  6  6  4 3F800000
PDMPRB  6  7  1 3F800000
PDMPRB  6  7  2 3F800000
PDMPRB  6  7  3 3F800000
PDMPRB  6  7  4 3F800000
PDMPRB  6  8  1 3F800000
PDMPRB  6  8  2 3F800000
PDMPRB  6  8  3 3F800000
PDMPRB  6  8  4 3F800000
PDMPRB  6  9  1 3F800000
PDMPRB  6  9  2 3F800000
PDMPRB  6  9  3 3F800000
PDMPRB  6  9  4 3F800000
PDMPNT     1 400A809A 400A809A
PDMPNT     2 3FDB330C 3FDB330C
PDMPNT     3 4089D65E 4089D65E
PDMPNT     4 3FAE5663 3FAE5663
PDMPNT     5 3F0ADBC1 3F0ADBC1
PDMPNT     6 409C4B53 409C4B53
PDMPNT     7 00000000 00000000
PDMPNT     8 408EB7A2 408EB7A2
PDMPNT     9 4058F2AA 4058F2AA
PDMPNT    10 3F90486C 3F90486C
PDMPNT    11 3F3676B6 3F3676B6
PDMSCT     1     0     0
PDMSCT     2     0     0
PDMSCT     3     1    30
PDMSCT     4     0     0
PDMSCT     5     0     0
PDMSCT     6     0     0
PDMSCT     7     0     0
PDMSCT     8    31    54
PDMSCT     9    55    81
PDMSCT    10     0     0
PDMSCT    11     0     0
PDMSCT    12     0     0
PDMSCT    13     0     0
PDMSCT    14     0     0
PDMSCT    15     0     0
PDMSCT    16     0     0
PDMSCT    17     0     0
PDMSCT    18     0     0
PDMSCT    19     0     0
PDMIND     1    28
PDMIND     2     1
PDMIND     3    29
PDMIND     4    34
PDMIND     5     4
PDMIND     6    35
PDMIND     7    38
PDMIND     8     6
PDMIND     9    39
PDMIND    10    44
PDMIND    11     9
PDMIND    12    45
PDMIND    13    50
PDMIND    14    12
PDMIND    15    51
PDMIND    16    54
PDMIND    17    14
PDMIND    18    55
PDMIND    19    60
PDMIND    20    17
PDMIND    21    61
PDMIND    22    66
PDMIND    23    20
PDMIND    24    67
PDMIND    25    72
PDMIND    26    23
PDMIND    27    73
PDMIND    28    78
PDMIND    29    26
PDMIND    30    79
PDMIND    31    30
PDMIND    32     2
PDMIND    33    31
PDMIND    34    40
PDMIND    35     7
PDMIND    36    41
PDMIND    37    46
PDMIND    38    10
PDMIND    39    47
PDMIND    40    56
PDMIND    41    15
PDMIND    42    57
PDMIND    43    62
PDMIND    44    18
PDMIND    45    63
PDMIND    46    68
PDMIND    47    21
PDMIND    48    69
PDMIND    49    74
PDMIND    50    24
PDMIND    51    75
PDMIND    52    80
PDMIND    53    27
PDMIND    54    81
PDMIND    55    32
PDMIND    56     3
PDMIND    57    33
PDMIND    58    36
PDMIND    59     5
PDMIND    60    37
PDMIND    61    42
PDMIND    62     8
PDMIND    63    43
PDMIND    64    48
PDMIND    65    11
PDMIND    66    49
PDMIND    67    52
PDMIND    68    13
PDMIND    69    53
PDMIND    70    58
PDMIND    71    16
PDMIND    72    59
PDMIND    73    64
PDMIND    74    19
PDMIND    75    65
PDMIND    76    70
PDMIND    77    22
PDMIND    78    71
PDMIND    79    76
PDMIND    80    25
PDMIND    81    77
PDMTIN     28      3      2      3      7      0      0      1     35      1      0 42920000 41380000 3FBD06B0 40A834F3 3CFC2B21 3FB17458 419E6667 3F5DF3B6 41200000 41200000 00000000
PDMTOU     28      0      0      1     35 3F609607 3F630A07 C1100000 3E86FFF7 3EB2CEDE 00000000 3F9B3F2A 3ED1D0E0 3FEAF97B 42920000 3F9B3F2A
PDMTIN      1      3      2      3      7      0      0      1     35      1      0 42920000 41380000 3F9B8648 40A834F3 3D974D14 4054F204 419E6667 3F5DF3B6 41200000 41200000 00000000
PDMTOU      1      0      0      1     35 3F273862 3F6ED57A C1100000 3C807352 3E052E77 00000000 403A4BCD 3CA56A00 3F2F0414 42920000 403A4BCD
PDMTIN     29      3      2      3      7      0      0      1     35      1      0 42920000 41380000 3F7FA6F0 40A834F3 3C974D14 3F54F204 419E6667 3F5DF3B6 41200000 41200000 00000000
PDMTOU     29      0      0      1    -35 3F7A867B 3EFA334C 36605F24 3DAD8883 C1100000 00000000 3F3A4BCD 3DB52C00 00000000 4291FFE0 3F3A4BCD
PDMTIN     34      3      2      3      7      0      0      1     25      2      0 42960000 40FCCCCD 3F90A540 4098CA70 3D7F35E6 403C047F 411E6667 3F5DF3B6 41200000 41200000 00000000
PDMTOU     34      0      0      1    -25 3F5FAD0C 3F2EA8EC 36605F24 3EBC7697 C1100000 00000000 40245459 3EDF6C50 00000000 4295FFDF 40245459
PDMTIN      4      3      2      3      7      0      0      1     25      2      0 42960000 40FCCCCD 3F6E4F98 4098CA70 3E192057 40E19EFF 411E6667 3F5DF3B6 41200000 41200000 00000000
PDMTOU      4      0      0      1    -25 3F76D0CF 3E85FBC4 36605F24 3DCD2006 C1100000 00000000 40C53204 3DCA7780 00000000 4295FFDF 40C53204
PDMTIN     35      3      2      3      7      0      0      1     25      2      0 42960000 40FCCCCD 3F441378 4098CA70 3D192057 3FE19EFF 411E6667 3F5DF3B6 41200000 41200000 00000000
PDMTOU     35      0      0      1    -25 3F6051A3 3F52C49D 36605F24 3E35E2C1 C1100000 00000000 3FC53204 3E1196C0 00000000 4295FFDF 3FC53204
PDMTIN     38      3      2      2      4      0      0      1     45      3      0 42180000 40C66666 3F9E0AA0 4096EEB0 3DCABCD5 4098A139 404CCCCD 3F5DF3B6 41200000 41200000 00000000
PDMTOU     38      0      0      1    -45 3F7AC858 3F5F0871 36605F24 3DE9BECF C1100000 00000000 408621E8 3E1E9740 00000000 4217FFDF 408621E8
PDMTIN      6      3      2      2      4      0      0      1     45      3      0 42180000 40C66666 3F82C464 4096EEB0 3E734900 413727DE 404CCCCD 3F5DF3B6 41200000 41200000 00000000
PDMTOU      6      0      0      1    -45 3F61C07F 3EA42161 36605F24 3E593A60 C1100000 00000000 4120F57D 3E6DDF80 00000000 4217FFDF 4120F57D
PDMTIN     39      3      2      2      4      0      0      1     45      3      0 42180000 40C66666 3F5804F8 4096EEB0 3D734900 403727DE 404CCCCD 3F5DF3B6 41200000 41200000 00000000
PDMTOU     39      0      0      1     45 3F537B97 3F6B05BE C1100000 3DFC9CE3 3E669ECC 00000000 4020F57D 3DE38A40 3F87F812 42180000 4020F57D
PDMTIN     44      3      2      1      1      0      0      1     25      4      0 41A00000 40800000 3F82B414 40468800 3E1AFDEF 40F00001 3F4CCCCD 3F5DF3B6 41200000 41200000 00000000
PDMTOU     44      0      0      1    -25 3F759AA1 3EECD79B 36605F24 3E805DB4 C1100000 00000000 40D19AF0 3E907EC0 00000000 419FFFDD 40D19AF0
PDMTIN      9      3      2      1      1      0      0      1     25      4      0 41A00000 40800000 3F592A50 40468800 3EB9FD86 41900001 3F4CCCCD 3F5DF3B6 41200000 41200000 00000000
PDMTOU      9      0      0      1    -25 3F6441C6 3EF5B0E9 36605F24 3D9A2231 C1100000 00000000 417B86BA 3D914200 00000000 419FFFDD 417B86BA
PDMTIN     45      3      2      1      1      0      0      1     25      4      0 41A00000 40800000 3F3404C8 40468800 3DB9FD86 40900001 3F4CCCCD 3F5DF3B6 41200000 41200000 00000000
PDMTOU     45      0      0      1    -25 3F453B35 3EAE860F 36605F24 3E015392 C1100000 00000000 407B86BA 3DC59380 00000000 419FFFDD 407B86BA
PDMTIN     50      3      2      1      1      0      0      1     45      5      0 41500000 3FF33333 3E99B590 4024B182 3E16E593 40F00001 3DCCCCCD 3F5DF3B6 41200000 41200000 00000000
PDMTOU     50      0      0      1    -45 3F517E2D 3BA367BE 36605F24 3E4B82A4 C1100000 00000000 40D13C37 3D82CAD0 00000000 414FFFD2 40D13C37
PDMTIN     12      3      2      1      1      0      0      1     45      5      0 41500000 3FF33333 3E99B590 4024B182 3EB5137E 41900001 3DCCCCCD 3F5DF3B6 41200000 41200000 00000000
PDMTOU     12      0      0      1     45 3F6AE491 3F713212 C1100000 3D666051 BD2EB132 00000000 417B1510 3C961800 00000000 41500000 417B1510
PDMTIN     51      3      2      1      1      0      0      1     45      5      0 41500000 3FF33333 3E99B590 4024B182 3DB5137E 40900001 3DCCCCCD 3F5DF3B6 41200000 41200000 00000000
PDMTOU     51      0      0      1    -45 3F5A8776 3E317630 36605F24 3E90A63D C1100000 00000000 407B1510 3DB87CA0 00000000 414FFFD2 407B1510
PDMTIN     54      3      2      2      4      0      0      1     65      5      0 41D80000 40A9999A 3FB7B1A8 4088CB92 3E0923B0 40D0DE14 3FD9999A 3F5DF3B6 41200000 41200000 00000000
PDMTOU     54      0      0      1    -65 3F7A0F40 3F54C7F4 36605F24 3E6D86A0 C1100000 00000000 40B617EE 3EBD6D40 00000000 41D7FFD1 40B617EE
PDMTIN     14      3      2      2      4      0      0      1     65      5      0 41D80000 40A9999A 3F98C3BC 4088CB92 3EA4913A 417AA419 3FD9999A 3F5DF3B6 41200000 41200000 00000000
PDMTOU     14      0      0      1    -65 3F75E9D5 3F11DA75 36605F24 3E7D1120 C1100000 00000000 415A831E 3EA4D9A0 00000000 41D7FFD1 415A831E
PDMTIN     55      3      2      2      4      0      0      1     65      5      0 41D80000 40A9999A 3F7D81F8 4088CB92 3DA4913A 407AA419 3FD9999A 3F5DF3B6 41200000 41200000 00000000
PDMTOU     55      0      0      1    -65 3F725FD8 3EA839A4 36605F24 3DDD4A7B C1100000 00000000 405A831E 3DEFB240 00000000 41D7FFD1 405A831E
PDMTIN     60      3      2      3      7      0      0      1     35      6      0 42860000 414B3333 3FA76F68 40ABC608 3CD1F124 3F91810B 41AD999A 3F5DF3B6 41200000 41200000 00000000
PDMTOU     60      0      0      1     35 3F634844 3F770515 C1100000 3E3B7B88 3E8E5805 00000000 3F8005FB 3E807140 3FBF05D0 42860000 3F8005FB
PDMTIN     17      3      2      3      7      0      0      1     35      6      0 42860000 414B3333 3F8974E0 40ABC608 3D7BEE2C 402E9ADA 41AD999A 3F5DF3B6 41200000 41200000 00000000
PDMTOU     17      0      0      1    -35 3F7E19F3 3E147F6D 36605F24 3E14392F C1100000 00000000 4019A0C7 3E25B7C0 00000000 4285FFE3 4019A0C7
PDMTIN     61      3      2      3      7      0      0      1     35      6      0 42860000 414B3333 3F618650 40ABC608 3C7BEE2C 3F2E9ADA 41AD999A 3F5DF3B6 41200000 41200000 00000000
PDMTOU     61      0      0      1    -35 3F74E1D3 3EE5B889 36605F24 3EC943B1 C1100000 00000000 3F19A0C7 3EB57A20 00000000 4285FFE3 3F19A0C7
PDMTIN     66      3      2      2      4      0      0      1     25      8      0 4237D0FC 41080000 3F9425CC 40960274 3D5E2430 40226927 40DCCCCC 3F5DF3B6 41200000 41200000 00000000
PDMTOU     66      0      0      1    -25 3F1CB355 3D9F4C58 36605F24 3E0E78EA C1100000 00000000 400EC5F7 3E2FCCA0 00000000 4237D0D4 400EC5F7
PDMTIN     20      3      2      2      4      0      0      1     25      8      0 4237D0FC 41080000 3F73F108 40960274 3E0548EA 40C2E496 40DCCCCC 3F5DF3B6 41200000 41200000 00000000
PDMTOU     20      0      0      1     25 3F30E79F 3F66E5FE C1100000 3D0DF03C 3E165A28 00000000 40AB53F6 3D0FA780 3F303489 4237D0FC 40AB53F6
PDMTIN     67      3      2      2      4      0      0      1     25      8      0 4237D0FC 41080000 3F489BF8 40960274 3D0548EA 3FC2E496 40DCCCCC 3F5DF3B6 41200000 41200000 00000000
PDMTOU     67      0      0      1    -25 3F609595 3EBB6F4C 36605F24 3E2DD508 C1100000 00000000 3FAB53F6 3E0E1FC0 00000000 4237D0D4 3FAB53F6
PDMTIN     72      3      2      1      1      0      0      1     45     10      0 41880000 404CCCCD 3F84ACE6 4044549C 3E196B47 40F00001 3F000000 3F5DF3B6 41200000 41200000 00000000
PDMTOU     72      0      0      1     45 3F66D9BD 3F786CD6 C1100000 3DEBE1F6 3CB7FBA4 00000000 40D17FDF 3E0D8F10 3D8D1978 41880000 40D17FDF
PDMTIN     23      3      2      1      1      0      0      1     45     10      0 41880000 404CCCCD 3F5D6C6C 4044549C 3EB81A56 41900001 3F000000 3F5DF3B6 41200000 41200000 00000000
PDMTOU     23      0      0      1    -45 3F7D32DB 3E913F06 36605F24 3E34BAE4 C1100000 00000000 417B663F 3E2F4790 00000000 4187FFE2 417B663F
PDMTIN     73      3      2      1      1      0      0      1     45     10      0 41880000 404CCCCD 3F384B68 4044549C 3DB81A56 40900001 3F000000 3F5DF3B6 41200000 41200000 00000000
PDMTOU     73      0      0      1     45 3F7A836D 3F524773 C1100000 3E1737F3 3D6F0C6A 00000000 407B663F 3DF0DDE0 3E375483 41880000 407B663F
PDMTIN     78      3      2      2      4      0      0      1     25     10      0 41C80000 40A00000 3F719B10 40575CA9 3E198032 40EAAEFB 3FB33333 3F5DF3B6 41200000 41200000 00000000
PDMTOU     78      0      0      1    -25 3F5C078E 3F3D2E6D 36605F24 3DE4B7C6 C1100000 00000000 40CCDBD0 3DEC3680 00000000 41C7FFD4 40CCDBD0
PDMTIN     26      3      2      2      4      0      0      1     25     10      0 41C80000 40A00000 3F47C0C0 40575CA9 3EB83370 418CCF64 3FB33333 3F5DF3B6 41200000 41200000 00000000
PDMTOU     26      0      0      1    -25 3F5C8134 3E3D98A3 36605F24 3ECB2400 C1100000 00000000 4175D494 3EA686A0 00000000 41C7FFD4 4175D494
PDMTIN     79      3      2      2      4      0      0      1     25     10      0 41C80000 40A00000 3F24E008 40575CA9 3DB83370 408CCF64 3FB33333 3F5DF3B6 41200000 41200000 00000000
PDMTOU     79      0      0      1    -25 3F5349C7 3F4CAE06 36605F24 3E80CF61 C1100000 00000000 4075D494 3E2ECD40 00000000 41C7FFD4 4075D494
PDMTIN     30      8      5      1      1      0      0      1     55      1      0 40000000 3DCCCCCD 3EDB4C9D 4023FBA6 3E3C3DBB 41B40001 00000000 3F74BC6A 41200000 41200000 00000000
PDMTOU     30      0      0      1     55 3F71138F 3F65536D C1100000 3EAA8EF4 3E6CC960 00000000 419D7946 3E5DE7A8 3F17ACFB 40000000 419D7946
PDMTIN      2      8      5      1      1      0      0      1     55      1      0 40000000 3DCCCCCD 3EDB4C9D 4023FBA6 3EE1E3AE 42580002 00000000 3F74BC6A 41200000 41200000 00000000
PDMTOU      2      0      0      1    -55 3F591266 3E566EA2 36605F24 3E4FD942 C1100000 00000000 423CF7EE 3E1F207E 00000000 3FFFFFC8 423CF7EE
PDMTIN     31      8      5      1      1      0      0      1     55      1      0 40000000 3DCCCCCD 3EDB4C9D 4023FBA6 3DE1E3AE 41580002 00000000 3F74BC6A 41200000 41200000 00000000
PDMTOU     31      0      0      1    -55 3F7C2B9A 3ECC3D05 36605F24 3E25E79B C1100000 00000000 413CF7EE 3E07E81C 00000000 3FFFFFC8 413CF7EE
PDMTIN     40      8      5      1      1      0      0      1     35      3      0 40A00000 41066666 3F9357A8 3FA08A3C 3CC13098 40264CFB 3FE66667 3F74BC6A 41200000 41200000 00000000
PDMTOU     40      0      0      1    -35 3F7DE2E3 3DE4F4EF 36605F24 3CEC4A87 C1100000 00000000 40122586 3D116D00 00000000 409FFFDD 40122586
PDMTIN      7      8      5      1      1      0      0      1     35      3      0 40A00000 41066666 3F4E2BF0 3FA08A3C 3D67D3EA 40C78F94 3FE66667 3F74BC6A 41200000 41200000 00000000
PDMTOU      7      0      0      1    -35 3F7554D8 3ED82A0A 36605F24 3EC34C54 C1100000 00000000 40AF603B 3EA1FB20 00000000 409FFFDD 40AF603B
PDMTIN     41      8      5      1      1      0      0      1     35      3      0 40A00000 41066666 3F0FACC0 3FA08A3C 3C67D3EA 3FC78F94 3FE66667 3F74BC6A 41200000 41200000 00000000
PDMTOU     41      0      0      1    -35 3F5747E5 3EE02007 36605F24 3DD08EFB C1100000 00000000 3FAF603B 3D716400 00000000 409FFFDD 3FAF603B
PDMTIN     46      8      5      3      7      0      0      1     45      4      0 42820000 41033333 3FADCDB4 40373FEE 3CCA369F 402E8308 412E6667 3F74BC6A 41200000 41200000 00000000
PDMTOU     46      0      0      1    -45 3F75B61A 3F3DCBDE 36605F24 3E6DADC8 C1100000 00000000 4018692A 3EABAB30 00000000 4281FFE4 4018692A
PDMTIN     10      8      5      3      7      0      0      1     45      4      0 42820000 41033333 3F741B18 40373FEE 3D72A7F3 40D16A0A 412E6667 3F74BC6A 41200000 41200000 00000000
PDMTOU     10      0      0      1    -45 3F7750CD 3E0791F9 36605F24 3DB10365 C1100000 00000000 40B6E499 3DB21140 00000000 4281FFE4 40B6E499
PDMTIN     47      8      5      3      7      0      0      1     45      4      0 42820000 41033333 3F2A97C8 40373FEE 3C72A7F3 3FD16A0A 412E6667 3F74BC6A 41200000 41200000 00000000
PDMTOU     47      0      0      1     45 3F6D0966 3F6C50A4 C1100000 3DFC47EF 3E667941 00000000 3FB6E499 3DAE5040 3F24FA3C 42820000 3FB6E499
PDMTIN     56      8      5      3      7      0      0      1     35      6      0 42820000 41200000 3F9C6288 40330061 3C8B1A3F 3FEAAEFB 4179999A 3F74BC6A 41200000 41200000 00000000
PDMTOU     56      0      0      1    -35 3F6DC506 3F150FF4 36605F24 3E0F682E C1100000 00000000 3FCE7D28 3E38A9C0 00000000 4281FFE4 3FCE7D28
PDMTIN     15      8      5      3      7      0      0      1     35      6      0 42820000 41200000 3F5A6310 40330061 3D26EC4C 408CCF64 4179999A 3F74BC6A 41200000 41200000 00000000
PDMTOU     15      0      0      1    -35 3F48FE5D 3E689418 36605F24 3E1BC85E C1100000 00000000 4077C964 3E09DA80 00000000 4281FFE4 4077C964
PDMTIN     57      8      5      3      7      0      0      1     35      6      0 42820000 41200000 3F17F560 40330061 3C26EC4C 3F8CCF64 4179999A 3F74BC6A 41200000 41200000 00000000
PDMTOU     57      0      0      1    -35 3F72F620 3F38815F 36605F24 3DEB4BD8 C1100000 00000000 3F77C964 3D8F7B00 00000000 4281FFE4 3F77C964
PDMTIN     62      8      5      3      7      0      0      1     25      8      0 42700000 4119999A 3F7D1380 4030D071 3C962C9F 3FFEA5DD 4154CCCD 3F74BC6A 41200000 41200000 00000000
PDMTOU     62      0      0      1    -25 3F7E9C09 3E5610CE 36605F24 3E4A911D C1100000 00000000 3FDFDB9C 3E50B880 00000000 426FFFCB 3FDFDB9C
PDMTIN     18      8      5      3      7      0      0      1     25      8      0 42700000 4119999A 3F303D20 4030D071 3D34358C 4098C9EB 4154CCCD 3F74BC6A 41200000 41200000 00000000
